id,category,key,value,notes,affecting,https://docs.google.com/spreadsheets/d/,peek
102,gamesetting,feedBackEmailReceiver,darian.hickman@villagethegame.com,,,,
103,content,dropdown_menu_docid,13PLFMV3WKLG6XFoOJf5Ca0HY3zlM9C1EuZtv0GEV8jo,"aka Pull Down Menu
1uVwWODSTtCHGhK9CYT24PYViAJxLIMzvyChL466IqU4",,https://docs.google.com/spreadsheets/d/13PLFMV3WKLG6XFoOJf5Ca0HY3zlM9C1EuZtv0GEV8jo,
104,font,gameFont,16px Arial,,,,
105,content,special_events_docid,1eSH3yMxkGUwoVmJzXPbUMsSCiX2QWotunduA-bbfvYQ,,,https://docs.google.com/spreadsheets/d/1eSH3yMxkGUwoVmJzXPbUMsSCiX2QWotunduA-bbfvYQ,
106,art,notFoundImageURL,client/assets/images/ui/No_Image_Available_75.png,,,,
107,logic,syncGameObjectDimensions,TRUE,,,,
108,gamesetting,URLRetryCount,3,,,,
109,problem,firstProblemID,P001,,,,
110,goal,goalCompleteEffect,pulsate,https://jqueryui.com/effect/,,,
111,goal,goalCompleteEffectDuration,500,milliseconds,,,
112,goal,newGoalEffect,pulsate,https://jqueryui.com/effect/,,,
113,goal,newGoalEffectDuration,500,milliseconds,,,
114,mouseOver,mouseOverPanelShowEffect,fade,https://jqueryui.com/effect/,,,
115,mouseOver,mouseOverPanelShowDuration,500,milliseconds,,,
116,mouseOver,mouseOverPanelHideEffect,fade,https://jqueryui.com/effect/,,,
117,mouseOver,mouseOverPanelHideDuration,500,milliseconds,,,
120,content,problems_docid,1mgtfo51opMqTVxwDBneGejtSCmRvjUj-WwXZAJmDF5M,,,https://docs.google.com/spreadsheets/d/1mgtfo51opMqTVxwDBneGejtSCmRvjUj-WwXZAJmDF5M,
121,gamesetting,availableLanguages,"English,Spanish",,,,
122,gamesetting,scaleMin,0.25,,,,
123,gamesetting,scaleMax,0.8,,,,
124,gamesetting,zoomLevels,3,,,,
125,goal,goalDialogMascotURL,client/assets/images/ui/Female-48.png,,,,
126,problem,problemDialogMascotURL,client/assets/images/ui/Female-48.png,,,,
127,problem,problemOrder,"P001,P004,P005,P008,P012,P020,P035,P038",,,,
128,content,assets_docid,1DYddYwfc13z61__-mWDmbyCEl3vliqrNiU0AGpQ6i4A,,,https://docs.google.com/spreadsheets/d/1DYddYwfc13z61__-mWDmbyCEl3vliqrNiU0AGpQ6i4A,
